Issue key,Issue id,Summary,Status
MER-2788,9327434,Sub-header Navigation | Tablet & Mobile | Breadcrumb is overlapping with the old header navigation links,Closed
MER-2765,9320813,Header | Authenticated user | Font Style issue,Verifying
MER-2751,9316716,PDP & SDP | Sub-header navigation CTAs | Overlapping on mobile/tablet and disappearing over footer,Closed
MER-2701,9308086,PDP & SDP | Sub-header navigation | Scroller functionality not working with old header,Closed
MER-2642,9298768,NAV | Header UI Issues,Closed
MER-2619,9294091,DD  | Resource Cards - Read More CTA to have external link icon,Closed
MER-2617,9294084,DD  | Resource Cards - Enhance View More CTA,Closed
MER-2598,9292857,PDP & SDP | Sub-header Navigation | Multiple Issues,Closed
MER-2576,9291035,UI/UX | [All templates] [ Header ] - [Not sticky] - Change REQ [Design miss on Header/Footer Figma],Closed
MER-2481,9276672,PLP & SCP | Category Selection FE,Closed
MER-2433,9258033,[Analytics] Lookup Form | Data Layer Not Populating Correctly for Existing Event,Closed
MER-2430,9257846,[Analytics] Resource Card | CSS cursor: pointer makes non-clickable card padding appear clickable,Closed
MER-2365,9239763,CDP | Statistics Component - Compact Box Variation Alignment Issue,Closed
MER-2304,9226107,UI/UX |[SCP] [Explore Tabs] - [opening jumps to bottom],Closed
MER-2256,9221558,[Analytics] DD - CDP Hero,Closed
MER-2242,9218880,DD| Text container component-Issues,Closed
MER-2232,9217732,DD | Authors Bio Issues,Closed
MER-2223,9216206,DD  | Resource Cards - Dynamic items,Closed
MER-2213,9215334,[Analytics] SDP - Solution Selector Component,Closed
MER-2161,9211343,DD | Authors Bio | Description field is missing on the CF modal,Closed
MER-2105,9203888,UAT |[PDP] Statistics Component - Margins Shift Based on Character Length,Resolved
MER-2086,9203135,[Agentic] [FE] Mobile Padding Issue on Sign-In,Closed
MER-2026,9186220,UAT |[PDP] [SDP/PDP Text Container Component] - Content left alignment issue when first column text is insufficient in double column layout,Closed
MER-2025,9186198, UAT |[PDP] [Media Highlight & SDP/PDP Text Container] - Registered trademark superscript not rendering correctly,Closed
MER-1736,8555916,[Analytics] Implementation - Product Hero,Closed
MER-1635,8544462,PDP | Sub-header navigation | Mobile & Tablet | Anchor link issue,Closed
