"Add to Cart","Buy Course"
"Item","Course"
"Move to Wishlist","Move to your like Course"
"Update Wish List","Update Like Courses"
"My Wish List","My Liked Courses List"
"ADD TO WISH LIST","ADD TO YOUR LIKE COURSE LIST
"Item in Cart","Course in Cart"
"Items in Cart","Courses in Cart"
"Recently added item(s)","Recently added course(s)"
"Edit course","Edit course"
"Forgot an Course?","Forgot an Course?"
"Select Items","Select Courses"
"View all Wish List items","View all Wish List courses"
"Recent items","Recent courses"
"An item needs to be selected. Select and try again.","An course needs to be selected. Select and try again."
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all courses from your shopping cart?"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this course from the shopping cart?"
"You have item changes","You have course changes"
"You haven't selected any items!","You haven't selected any courses!"
